"code","level","cause","sex","0-28 days","1-59 months","5-14 years","15-29 years","30-49 years","50-59 years","60-69 years","70+ years","year","region"
"2H06",3,"Other circulatory diseases","Male",30,1499,837,1202,3106,3506,5543,13628,"2019","Emr"
"2I",2,"Respiratory diseases","Male",0,935,602,1846,7873,14630,30494,74813,"2019","Emr"
"2I01",3,"Chronic obstructive pulmonary disease","Male",0,208,113,753,4072,9536,22833,59901,"2019","Emr"
"2I02",3,"Asthma","Male",0,594,379,829,2868,3889,6247,11983,"2019","Emr"
"2I03",3,"Other respiratory diseases","Male",0,132,109,264,934,1205,1415,2928,"2019","Emr"
"2J",2,"Digestive diseases","Male",31,2579,1314,4810,18794,18628,22923,35024,"2019","Emr"
"2J01",3,"Peptic ulcer disease","Male",0,123,68,227,737,793,998,2003,"2019","Emr"
"2J02",3,"Cirrhosis of the liver","Male",0,1068,804,3437,15419,15598,18843,26407,"2019","Emr"
"2J02a",4,"Cirrhosis due to hepatitis B","Male",0,8,25,778,5571,4959,5256,7169,"2019","Emr"
"2J02b",4,"Cirrhosis due to hepatitis C","Male",0,16,46,1027,6647,6881,8254,11151,"2019","Emr"
"2J02c",4,"Cirrhosis due to alcohol use","Male",0,0,0,88,1247,1681,2089,2049,"2019","Emr"
"2J02d",4,"Other liver cirrhosis","Male",0,1044,732,1544,1955,2077,3245,6037,"2019","Emr"
"2J03",3,"Appendicitis","Male",0,105,138,252,294,149,185,342,"2019","Emr"
"2J04",3,"Gastritis and duodenitis","Male",0,6,6,16,75,75,59,107,"2019","Emr"
"2J05",3,"Paralytic ileus and intestinal obstruction","Male",21,1020,182,395,727,615,920,2068,"2019","Emr"
"2J06",3,"Inflammatory bowel disease","Male",0,30,10,39,133,95,130,248,"2019","Emr"
"2J07",3,"Gallbladder and biliary diseases","Male",0,24,22,59,236,348,552,1266,"2019","Emr"
"2J08",3,"Pancreatitis","Male",0,10,15,264,776,447,477,738,"2019","Emr"
"2J09",3,"Other digestive diseases","Male",10,192,71,121,397,507,760,1845,"2019","Emr"
"2K",2,"Genitourinary diseases","Male",23,1906,966,3579,10237,11678,17218,33209,"2019","Emr"
"2K01",3,"Kidney diseases","Male",0,1402,762,3063,9308,10941,16082,30073,"2019","Emr"
"2K01a",4,"Acute glomerulonephritis","Male",0,27,20,22,49,26,37,74,"2019","Emr"
"2K01b",4,"Chronic kidney disease due to diabetes","Male",0,5,8,264,3028,4504,6358,9978,"2019","Emr"
"2K01c",4,"Other chronic kidney disease","Male",0,1370,734,2776,6231,6411,9688,20021,"2019","Emr"
"2K02",3,"Benign prostatic hyperplasia","Male",0,0,0,0,0,0,0,0,"2019","Emr"
"2K03",3,"Urolithiasis","Male",0,2,4,3,21,23,37,94,"2019","Emr"
"2K04",3,"Other urinary diseases","Male",23,502,200,513,908,714,1099,3042,"2019","Emr"
"2K05",3,"Infertility","Male",0,0,0,0,0,0,0,0,"2019","Emr"
"2K06",3,"Gynecological diseases","Male",0,0,0,0,0,0,0,0,"2019","Emr"
"2L",2,"Skin diseases","Male",0,66,13,39,104,103,174,555,"2019","Emr"
"2M",2,"Musculoskeletal diseases","Male",0,0,34,120,243,158,403,995,"2019","Emr"
"2M01",3,"Rheumatoid arthritis","Male",0,0,2,4,20,38,129,368,"2019","Emr"
"2M02",3,"Osteoarthritis","Male",0,0,0,0,0,0,0,0,"2019","Emr"
"2M03",3,"Gout","Male",0,0,0,0,0,0,0,0,"2019","Emr"
"2M04",3,"Back and neck pain","Male",0,0,0,0,0,0,0,0,"2019","Emr"
"2M05",3,"Other musculoskeletal disorders","Male",0,0,31,116,223,120,274,627,"2019","Emr"
"2N",2,"Congenital anomalies","Male",23611,12290,2758,1487,1097,251,176,0,"2019","Emr"
"2N01",3,"Neural tube defects","Male",2728,1216,196,91,45,9,9,0,"2019","Emr"
"2N02",3,"Cleft lip and cleft palate","Male",114,54,0,0,0,0,0,0,"2019","Emr"
"2N03",3,"Down syndrome","Male",503,440,150,127,123,29,8,0,"2019","Emr"
"2N04",3,"Congenital heart anomalies","Male",8343,5652,1391,752,490,114,85,0,"2019","Emr"
"2N05",3,"Other chromosomal anomalies","Male",741,304,62,43,36,4,1,0,"2019","Emr"
"2N06",3,"Other congenital anomalies","Male",11182,4623,959,475,404,95,74,0,"2019","Emr"
"2O",2,"Oral conditions","Male",0,0,0,0,0,0,0,0,"2019","Emr"
"2P",2,"Sudden infant death syndrome","Male",66,2678,0,0,0,0,0,0,"2019","Emr"
"3",1,"Injuries","Male",6774,21712,16937,76705,84078,27245,20900,22825,"2019","Emr"
"3A",2,"Unintentional injuries","Male",4090,18026,13787,43178,55066,19638,15496,17188,"2019","Emr"
"3A01",3,"Road injury","Male",145,3688,6183,24359,29467,10824,8230,6601,"2019","Emr"
"3A02",3,"Poisonings","Male",191,1295,383,802,1031,308,211,187,"2019","Emr"
"3A03",3,"Falls","Male",153,1518,915,2800,5728,2346,2212,4914,"2019","Emr"
"3A04",3,"Fire, heat and hot substances","Male",55,1565,605,1489,1938,633,529,745,"2019","Emr"
"3A05",3,"Drowning","Male",49,3193,2074,2635,1906,508,325,291,"2019","Emr"
"3A06",3,"Exposure to mechanical forces","Male",408,1176,920,4425,5619,1694,908,851,"2019","Emr"
"3A07",3,"Natural disasters","Male",13,26,34,74,77,29,23,27,"2019","Emr"
"3A08",3,"Other unintentional injuries","Male",3077,5564,2673,6594,9300,3297,3057,3572,"2019","Emr"
"3B",2,"Intentional injuries","Male",2684,3686,3150,33527,29012,7607,5404,5637,"2019","Emr"
"3B01",3,"Self-harm","Male",0,0,585,12002,12045,3001,1759,1310,"2019","Emr"
"3B02",3,"Interpersonal violence","Male",0,828,912,12622,10423,2032,939,555,"2019","Emr"
"3B03",3,"Collective violence and legal intervention","Male",2684,2858,1653,8903,6543,2574,2706,3771,"2019","Emr"
"0",0,"All Causes","Female",198971,166420,47489,90398,212494,204190,301539,698187,"2019","Emr"
"1",1,"Communicable & Nutritional","Female",174880,118800,21331,30721,43028,15839,19784,52374,"2019","Emr"
"1A",2,"Infectious and parasitic diseases","Female",11392,60575,16837,15051,20614,11805,12502,31318,"2019","Emr"
"1A01",3,"Tuberculosis","Female",0,4540,1944,6356,8888,4306,2996,3841,"2019","Emr"
"1A02",3,"STDs excluding HIV","Female",707,537,33,38,118,102,64,87,"2019","Emr"
"1A02a",4,"Syphilis","Female",707,537,29,6,12,7,4,13,"2019","Emr"
"1A02b",4,"Chlamydia","Female",0,0,1,6,17,16,9,14,"2019","Emr"
"1A02c",4,"Gonorrhoea","Female",0,0,1,14,48,46,31,41,"2019","Emr"
"1A02d",4,"Trichomoniasis","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"1A02e",4,"Genital herpes","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"1A02f",4,"Other STDs","Female",0,0,1,12,41,34,20,18,"2019","Emr"
"1A03",3,"HIV/AIDS","Female",5,703,150,511,2912,557,169,40,"2019","Emr"
"1A04",3,"Diarrhoeal diseases","Female",1915,24770,7492,4501,3096,2672,5048,21252,"2019","Emr"
"1A05",3,"Childhood-cluster diseases","Female",4273,19543,2809,321,433,360,289,482,"2019","Emr"
"1A05a",4,"Whooping cough","Female",0,7385,765,72,29,11,0,0,"2019","Emr"
"1A05b",4,"Diphtheria","Female",0,68,40,4,6,4,0,0,"2019","Emr"
"1A05c",4,"Measles","Female",0,12067,1794,8,2,0,0,0,"2019","Emr"
"1A05d",4,"Tetanus","Female",4273,23,209,236,396,345,289,482,"2019","Emr"
"1A06",3,"Meningitis","Female",3655,4066,1647,1052,1240,929,872,1403,"2019","Emr"
"1A07",3,"Encephalitis","Female",759,890,505,278,354,198,226,345,"2019","Emr"
"1A08",3,"Hepatitis","Female",0,846,414,554,1918,1651,1639,1922,"2019","Emr"
"1A08a",4,"Acute hepatitis A","Female",0,540,290,365,1051,806,755,1094,"2019","Emr"
"1A08b",4,"Acute hepatitis B","Female",0,221,89,146,575,563,628,587,"2019","Emr"
"1A08c",4,"Acute hepatitis C","Female",0,62,28,36,264,260,238,220,"2019","Emr"
"1A08d",4,"Acute hepatitis E","Female",0,23,6,8,27,21,17,21,"2019","Emr"
"1A09",3,"Parasitic and vector diseases","Female",1,2828,909,882,1085,658,623,761,"2019","Emr"
"1A09a",4,"Malaria","Female",0,2366,280,552,423,241,211,151,"2019","Emr"
"1A09b",4,"Trypanosomiasis","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"1A09c",4,"Chagas disease","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"1A09d",4,"Schistosomiasis","Female",0,2,15,23,69,82,98,135,"2019","Emr"
"1A09e",4,"Leishmaniasis","Female",0,87,114,22,23,7,5,4,"2019","Emr"
"1A09f",4,"Lymphatic filariasis","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"1A09g",4,"Onchocerciasis","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"1A09h",4,"Cysticercosis","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"1A09i",4,"Echinococcosis","Female",0,110,175,113,298,174,175,230,"2019","Emr"
"1A09j",4,"Dengue","Female",1,141,114,78,86,52,58,187,"2019","Emr"
"1A09k",4,"Trachoma","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"1A09l",4,"Yellow fever","Female",0,15,72,29,19,6,3,2,"2019","Emr"
"1A09m",4,"Rabies","Female",0,106,138,65,168,96,73,53,"2019","Emr"
"1A10",3,"Intestinal nematode infections","Female",0,35,25,3,4,2,3,5,"2019","Emr"
"1A10a",4,"Ascariasis","Female",0,35,25,3,4,2,3,5,"2019","Emr"
"1A10b",4,"Trichuriasis","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"1A10c",4,"Hookworm disease","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"1A10d",4,"Food-bourne trematodes","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"1A11",3,"Leprosy","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"1A12",3,"Other infectious diseases","Female",76,1816,909,556,567,371,575,1182,"2019","Emr"
"1B",2,"Respiratory Infectious","Female",12371,39289,3515,1846,3655,3220,5969,18187,"2019","Emr"
"1B01",3,"Lower respiratory infections","Female",12365,39105,3468,1838,3644,3211,5957,18161,"2019","Emr"
"1B02",3,"Upper respiratory infections","Female",1,181,44,8,11,7,11,24,"2019","Emr"
"1B03",3,"Otitis media","Female",5,2,2,0,1,1,2,3,"2019","Emr"
"1C",2,"Maternal conditions","Female",0,0,0,13028,17356,0,0,0,"2019","Emr"
"1D",2,"Neonatal conditions","Female",151118,13347,0,0,0,0,0,0,"2019","Emr"
"1D01",3,"Preterm birth complications","Female",69073,4747,0,0,0,0,0,0,"2019","Emr"
"1D02",3,"Birth asphyxia and birth trauma","Female",45058,3912,0,0,0,0,0,0,"2019","Emr"
"1D03",3,"Neonatal sepsis and infections","Female",28255,0,0,0,0,0,0,0,"2019","Emr"
"1D04",3,"Other neonatal conditions","Female",8731,4688,0,0,0,0,0,0,"2019","Emr"
"1E",2,"Nutritional deficiencies","Female",0,5589,979,796,1402,814,1312,2868,"2019","Emr"
"1E01",3,"Protein-energy malnutrition","Female",0,4986,696,259,429,327,545,1093,"2019","Emr"
"1E02",3,"Iodine deficiency","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"1E03",3,"Vitamin A deficiency","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"1E04",3,"Iron-deficiency anaemia","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"1E05",3,"Other nutritional deficiencies","Female",0,603,283,537,973,486,767,1776,"2019","Emr"
"2",1,"Noncommunicable","Female",18829,27668,14602,36351,141906,176575,270421,627720,"2019","Emr"
"2A",2,"Malignant neoplasms","Female",42,1785,2379,6842,45310,45117,46831,52969,"2019","Emr"
"2A01",3,"Mouth and oropharynx cancers","Female",0,0,34,359,2216,2303,2052,1586,"2019","Emr"
"2A01a",4,"Lip and oral cavity","Female",0,0,18,232,1801,1906,1662,1309,"2019","Emr"
"2A01b",4,"Nasopharynx","Female",0,0,8,95,200,132,146,104,"2019","Emr"
"2A01c",4,"Other pharynx","Female",0,0,7,33,214,264,243,173,"2019","Emr"
"2A02",3,"Oesophagus cancer","Female",0,0,2,137,1326,1577,1812,2035,"2019","Emr"
"2A03",3,"Stomach cancer","Female",0,0,24,250,1725,1727,2255,3308,"2019","Emr"
"2A04",3,"Colon and rectum cancers","Female",0,0,23,332,2392,2353,2685,3889,"2019","Emr"
"2A05",3,"Liver cancer","Female",12,76,30,159,1543,2837,3614,4140,"2019","Emr"
"2A05a",4,"Liver cancer secondary to hepatitis B","Female",0,0,2,53,467,551,532,393,"2019","Emr"
"2A05b",4,"Liver cancer secondary to hepatitis C","Female",0,0,0,13,591,1486,2064,2607,"2019","Emr"
"2A05c",4,"Liver cancer secondary to alcohol use","Female",0,0,0,3,95,176,240,210,"2019","Emr"
"2A05d",4,"Other liver cancer","Female",12,76,28,89,390,624,777,931,"2019","Emr"
"2A06",3,"Pancreas cancer","Female",0,0,0,22,516,900,1153,1482,"2019","Emr"
"2A07",3,"Trachea, bronchus, lung cancers","Female",0,0,23,167,1284,2050,2632,3129,"2019","Emr"
"2A08",3,"Melanoma and other skin cancers","Female",0,0,2,56,279,440,530,925,"2019","Emr"
"2A08a",4,"Malignant skin melanoma","Female",0,0,0,13,91,117,108,162,"2019","Emr"
"2A08b",4,"Non-melanoma skin cancer","Female",0,0,2,43,188,323,422,762,"2019","Emr"
"2A09",3,"Breast cancer","Female",0,0,8,999,16459,12289,10131,10034,"2019","Emr"
"2A10",3,"Cervix uteri cancer","Female",0,0,0,179,2992,3220,2831,1971,"2019","Emr"
"2A11",3,"Corpus uteri cancer","Female",0,0,0,26,375,736,1098,1193,"2019","Emr"
"2A12",3,"Ovary cancer","Female",0,0,36,332,2480,3037,2756,1997,"2019","Emr"
"2A13",3,"Prostate cancer","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2A14",3,"Testicular cancer","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2A15",3,"Kidney cancer","Female",1,103,50,63,331,411,485,641,"2019","Emr"
"2A16",3,"Bladder cancer","Female",0,0,4,25,135,391,798,1845,"2019","Emr"
"2A17",3,"Brain and nervous system cancers","Female",4,443,618,596,1827,1394,1387,1288,"2019","Emr"
"2A18",3,"Gallbladder and biliary tract cancer","Female",0,0,0,59,643,942,854,988,"2019","Emr"
"2A19",3,"Larynx cancer","Female",0,0,0,61,168,289,357,389,"2019","Emr"
"2A20",3,"Thyroid cancer","Female",0,0,14,30,187,224,381,868,"2019","Emr"
"2A21",3,"Mesothelioma","Female",0,0,0,3,23,53,44,60,"2019","Emr"
"2A22",3,"Lymphomas, multiple myeloma","Female",0,47,116,632,1821,2095,2819,4204,"2019","Emr"
"2A22a",4,"Hodgkin lymphoma","Female",0,1,9,157,380,173,197,394,"2019","Emr"
"2A22b",4,"Non-Hodgkin lymphoma","Female",0,46,96,443,1238,1482,2010,3305,"2019","Emr"
"2A22c",4,"Multiple myeloma","Female",0,0,11,31,203,441,612,505,"2019","Emr"
"2A23",3,"Leukaemia","Female",8,686,908,1296,2441,1379,1402,1568,"2019","Emr"
"2A24",3,"Other malignant neoplasms","Female",17,429,488,1058,4147,4471,4756,5429,"2019","Emr"
"2B",2,"Other neoplasms","Female",0,11,11,11,31,44,89,188,"2019","Emr"
"2C",2,"Diabetes mellitus","Female",1,272,242,1237,5856,11914,20628,35044,"2019","Emr"
"2D",2,"Endocrine, blood, immune disorders","Female",74,2718,1186,1774,1822,877,1142,2449,"2019","Emr"
"2D01",3,"Thalassaemias","Female",34,1105,558,599,235,26,3,0,"2019","Emr"
"2D02",3,"Sickle cell disorders and trait","Female",1,150,133,304,229,40,12,1,"2019","Emr"
"2D03",3,"Other haemoglobinopathies and haemolytic anaemias","Female",1,21,87,535,627,279,416,951,"2019","Emr"
"2D04",3,"Other endocrine, blood and immune disorders","Female",38,1441,407,337,731,532,710,1496,"2019","Emr"
"2E",2,"Mental and substance use disorders","Female",0,0,0,581,879,292,276,407,"2019","Emr"
"2E01",3,"Depressive disorders","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2E01a",4,"Major depressive disorder","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2E01b",4,"Dysthymia","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2E02",3,"Bipolar disorder","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2E03",3,"Schizophrenia","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2E04",3,"Alcohol use disorders","Female",0,0,0,48,132,57,41,50,"2019","Emr"
"2E05",3,"Drug use disorders","Female",0,0,0,530,742,235,235,358,"2019","Emr"
"2E05a",4,"Opioid use disorders","Female",0,0,0,396,559,170,162,177,"2019","Emr"
"2E05b",4,"Cocaine use disorders","Female",0,0,0,10,21,6,5,1,"2019","Emr"
"2E05c",4,"Amphetamine use disorders","Female",0,0,0,11,13,5,4,1,"2019","Emr"
"2E05d",4,"Cannabis use disorders","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2E05e",4,"Other drug use disorders","Female",0,0,0,113,149,54,64,178,"2019","Emr"
"2E06",3,"Anxiety disorders","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2E07",3,"Eating disorders","Female",0,0,0,3,5,0,0,0,"2019","Emr"
"2E08",3,"Autism and Asperger syndrome","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2E09",3,"Childhood behavioural disorders","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2E09a",4,"Attention deficit/hyperactivity syndrome","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2E09b",4,"Conduct disorder","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2E10",3,"Idiopathic intellectual disability","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2E11",3,"Other mental and behavioural disorders","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2F",2,"Neurological conditions","Female",0,1012,750,1773,2413,2089,4340,34160,"2019","Emr"
"2F01",3,"Alzheimer disease and other dementias","Female",0,0,0,0,147,696,2497,27239,"2019","Emr"
"2F02",3,"Parkinson disease","Female",0,0,0,1,113,345,920,5712,"2019","Emr"
"2F03",3,"Epilepsy","Female",0,615,501,1559,1497,608,552,881,"2019","Emr"
"2F04",3,"Multiple sclerosis","Female",0,0,81,63,327,179,112,90,"2019","Emr"
"2F05",3,"Migraine","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2F06",3,"Non-migraine headache","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2F07",3,"Other neurological conditions","Female",0,397,168,149,328,262,260,238,"2019","Emr"
"2G",2,"Sense organ diseases","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2H",2,"Cardiovascular diseases","Female",59,4034,3138,11072,55791,81705,144035,377350,"2019","Emr"
"2H01",3,"Rheumatic heart disease","Female",0,447,721,1938,4650,3213,2955,5093,"2019","Emr"
"2H02",3,"Hypertensive heart disease","Female",0,0,0,359,2830,6064,11428,37191,"2019","Emr"
"2H03",3,"Ischaemic heart disease","Female",0,0,0,4191,29328,45523,81983,206486,"2019","Emr"
"2H04",3,"Stroke","Female",24,1318,1099,3190,15842,23712,42497,111105,"2019","Emr"
"2H04a",4,"Ischaemic stroke","Female",6,243,191,828,4271,7368,20261,78643,"2019","Emr"
"2H04b",4,"Haemorrhagic stroke","Female",17,1076,908,2362,11570,16344,22236,32462,"2019","Emr"
"2H05",3,"Cardiomyopathy, myocarditis, endocarditis","Female",13,794,330,342,711,599,872,1983,"2019","Emr"
"2H06",3,"Other circulatory diseases","Female",22,1473,987,1052,2430,2592,4299,15492,"2019","Emr"
"2I",2,"Respiratory diseases","Female",0,734,550,1281,5160,7715,15010,42693,"2019","Emr"
"2I01",3,"Chronic obstructive pulmonary disease","Female",0,165,106,462,1984,4069,9509,30130,"2019","Emr"
"2I02",3,"Asthma","Female",0,475,357,685,2732,3080,4796,10776,"2019","Emr"
"2I03",3,"Other respiratory diseases","Female",0,94,86,134,444,565,705,1786,"2019","Emr"
"2J",2,"Digestive diseases","Female",26,2335,1762,6531,12793,14419,20289,46130,"2019","Emr"
"2J01",3,"Peptic ulcer disease","Female",0,92,74,279,895,1297,1806,4580,"2019","Emr"
"2J02",3,"Cirrhosis of the liver","Female",0,1088,1098,4569,9711,10760,15047,31916,"2019","Emr"
"2J02a",4,"Cirrhosis due to hepatitis B","Female",0,3,14,568,2796,2805,3278,6554,"2019","Emr"
"2J02b",4,"Cirrhosis due to hepatitis C","Female",0,7,32,1055,4096,4422,5881,11079,"2019","Emr"
"2J02c",4,"Cirrhosis due to alcohol use","Female",0,0,0,57,582,1069,1514,2054,"2019","Emr"
"2J02d",4,"Other liver cirrhosis","Female",0,1078,1052,2888,2237,2464,4374,12230,"2019","Emr"
"2J03",3,"Appendicitis","Female",0,86,175,606,414,297,293,539,"2019","Emr"
"2J04",3,"Gastritis and duodenitis","Female",0,2,7,13,46,61,94,229,"2019","Emr"
"2J05",3,"Paralytic ileus and intestinal obstruction","Female",20,854,233,638,589,684,989,2756,"2019","Emr"
"2J06",3,"Inflammatory bowel disease","Female",0,47,17,78,129,112,142,332,"2019","Emr"
"2J07",3,"Gallbladder and biliary diseases","Female",0,38,38,88,318,441,689,2105,"2019","Emr"
"2J08",3,"Pancreatitis","Female",0,11,29,166,435,395,559,1216,"2019","Emr"
"2J09",3,"Other digestive diseases","Female",6,117,91,96,256,372,670,2458,"2019","Emr"
"2K",2,"Genitourinary diseases","Female",15,2094,1206,3483,9933,11729,16822,34195,"2019","Emr"
"2K01",3,"Kidney diseases","Female",0,1509,941,2791,8845,10684,15497,31008,"2019","Emr"
"2K01a",4,"Acute glomerulonephritis","Female",0,28,29,19,31,14,34,73,"2019","Emr"
"2K01b",4,"Chronic kidney disease due to diabetes","Female",0,9,12,281,2658,4144,5912,9930,"2019","Emr"
"2K01c",4,"Other chronic kidney disease","Female",0,1472,900,2491,6156,6527,9551,21005,"2019","Emr"
"2K02",3,"Benign prostatic hyperplasia","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2K03",3,"Urolithiasis","Female",0,2,5,5,33,28,33,83,"2019","Emr"
"2K04",3,"Other urinary diseases","Female",15,583,231,557,855,849,1138,2844,"2019","Emr"
"2K05",3,"Infertility","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2K06",3,"Gynecological diseases","Female",0,0,29,129,200,168,154,260,"2019","Emr"
"2L",2,"Skin diseases","Female",0,55,13,19,56,82,132,597,"2019","Emr"
"2M",2,"Musculoskeletal diseases","Female",0,0,64,362,660,337,632,1537,"2019","Emr"
"2M01",3,"Rheumatoid arthritis","Female",0,0,4,5,36,85,281,725,"2019","Emr"
"2M02",3,"Osteoarthritis","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2M03",3,"Gout","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2M04",3,"Back and neck pain","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2M05",3,"Other musculoskeletal disorders","Female",0,0,60,356,623,252,351,812,"2019","Emr"
"2N",2,"Congenital anomalies","Female",18559,10197,3300,1385,1204,254,196,0,"2019","Emr"
"2N01",3,"Neural tube defects","Female",2576,1323,241,91,50,13,9,0,"2019","Emr"
"2N02",3,"Cleft lip and cleft palate","Female",126,41,0,0,0,0,0,0,"2019","Emr"
"2N03",3,"Down syndrome","Female",448,389,157,110,157,41,15,0,"2019","Emr"
"2N04",3,"Congenital heart anomalies","Female",6490,4746,1817,695,573,117,90,0,"2019","Emr"
"2N05",3,"Other chromosomal anomalies","Female",612,274,87,42,27,3,4,0,"2019","Emr"
"2N06",3,"Other congenital anomalies","Female",8305,3423,998,446,396,81,78,0,"2019","Emr"
"2O",2,"Oral conditions","Female",0,0,0,0,0,0,0,0,"2019","Emr"
"2P",2,"Sudden infant death syndrome","Female",52,2423,0,0,0,0,0,0,"2019","Emr"
"3",1,"Injuries","Female",5262,19952,11557,23326,27560,11777,11334,18093,"2019","Emr"
"3A",2,"Unintentional injuries","Female",3254,15932,9097,12488,17309,8123,7752,11980,"2019","Emr"
"3A01",3,"Road injury","Female",118,3557,4454,6655,10019,4796,4081,3783,"2019","Emr"
"3A02",3,"Poisonings","Female",46,1237,424,620,596,220,155,185,"2019","Emr"
"3A03",3,"Falls","Female",62,969,480,499,807,500,878,3885,"2019","Emr"
"3A04",3,"Fire, heat and hot substances","Female",132,1994,602,1286,1373,429,464,880,"2019","Emr"
"3A05",3,"Drowning","Female",22,2452,885,415,360,140,111,135,"2019","Emr"
"3A06",3,"Exposure to mechanical forces","Female",256,893,474,570,718,320,271,392,"2019","Emr"
"3A07",3,"Natural disasters","Female",9,25,25,34,42,20,20,26,"2019","Emr"
"3A08",3,"Other unintentional injuries","Female",2608,4805,1754,2409,3394,1698,1771,2695,"2019","Emr"
"3B",2,"Intentional injuries","Female",2008,4020,2460,10838,10251,3654,3582,6113,"2019","Emr"
"3B01",3,"Self-harm","Female",0,0,268,4406,4145,998,644,508,"2019","Emr"
"3B02",3,"Interpersonal violence","Female",0,775,584,3674,2881,644,408,462,"2019","Emr"
"3B03",3,"Collective violence and legal intervention","Female",2008,3245,1608,2758,3225,2012,2530,5144,"2019","Emr"
"0",0,"All Causes","Male",73790,76635,32005,164393,696846,935917,1599478,4414315,"2019","Wpr"
"1",1,"Communicable & Nutritional","Male",57613,40418,6042,14012,47342,35047,49584,238600,"2019","Wpr"
"1A",2,"Infectious and parasitic diseases","Male",2072,19464,4762,10737,37548,21904,19417,37924,"2019","Wpr"
"1A01",3,"Tuberculosis","Male",0,5052,1674,5583,12345,8521,9534,16099,"2019","Wpr"
"1A02",3,"STDs excluding HIV","Male",1250,647,11,24,57,43,45,106,"2019","Wpr"
"1A02a",4,"Syphilis","Male",1250,647,9,18,45,35,39,77,"2019","Wpr"
"1A02b",4,"Chlamydia","Male",0,0,0,0,1,0,0,0,"2019","Wpr"
"1A02c",4,"Gonorrhoea","Male",0,0,0,3,4,2,3,4,"2019","Wpr"
"1A02d",4,"Trichomoniasis","Male",0,0,0,0,0,0,0,0,"2019","Wpr"
"1A02e",4,"Genital herpes","Male",0,0,0,0,0,0,0,0,"2019","Wpr"
"1A02f",4,"Other STDs","Male",0,0,2,3,7,6,3,26,"2019","Wpr"
"1A03",3,"HIV/AIDS","Male",4,371,79,1502,17570,7114,2062,416,"2019","Wpr"
"1A04",3,"Diarrhoeal diseases","Male",310,6473,753,876,1151,916,1414,4746,"2019","Wpr"
"1A05",3,"Childhood-cluster diseases","Male",199,3669,406,101,267,198,164,175,"2019","Wpr"
"1A05a",4,"Whooping cough","Male",0,1979,56,13,10,6,0,1,"2019","Wpr"
"1A05b",4,"Diphtheria","Male",0,8,6,2,4,3,0,0,"2019","Wpr"
"1A05c",4,"Measles","Male",0,1673,303,19,13,3,1,3,"2019","Wpr"
"1A05d",4,"Tetanus","Male",199,10,42,68,240,186,163,170,"2019","Wpr"
"1A06",3,"Meningitis","Male",159,877,360,543,888,534,651,1214,"2019","Wpr"
"1A07",3,"Encephalitis","Male",51,685,240,312,597,339,395,580,"2019","Wpr"
"1A08",3,"Hepatitis","Male",0,74,21,157,1138,1239,1280,2101,"2019","Wpr"
"1A08a",4,"Acute hepatitis A","Male",0,16,10,34,83,96,95,220,"2019","Wpr"
"1A08b",4,"Acute hepatitis B","Male",0,52,9,107,913,882,880,1128,"2019","Wpr"
"1A08c",4,"Acute hepatitis C","Male",0,2,1,7,96,222,261,685,"2019","Wpr"
"1A08d",4,"Acute hepatitis E","Male",0,3,1,9,46,39,44,69,"2019","Wpr"
"1A09",3,"Parasitic and vector diseases","Male",3,1029,1140,1062,2378,1875,1782,1171,"2019","Wpr"
